Timestamp,CPU (%),RAM (%),Disk (%)
2026-04-14 17:51:36,9.5,71.0,37.1
2026-04-14 17:51:42,7.1,70.6,37.1
2026-04-14 17:51:48,8.4,70.0,37.1
2026-04-14 17:51:54,2.8,69.7,37.1
2026-04-14 17:52:00,3.2,69.6,37.1
2026-04-14 17:52:06,2.3,69.6,37.1
2026-04-14 17:52:12,2.5,69.7,37.1
2026-04-14 17:52:18,3.5,69.6,37.1
2026-04-14 17:52:24,4.2,69.5,37.1
2026-04-14 17:52:30,3.8,69.5,37.1
2026-04-14 17:52:36,2.5,69.5,37.1
2026-04-14 17:52:42,4.4,69.4,37.1
2026-04-14 17:52:48,2.9,69.7,37.1
2026-04-14 17:52:54,4.6,69.5,37.1
2026-04-14 17:53:00,7.3,69.7,37.1
2026-04-14 17:53:06,5.9,69.9,37.1
